sys.exec.out.time {s},impact_point.impact_point.time_to_impact {s},impact_point.impact_point.time_of_impact {s},impact_point.impact_point.surface_range {m},impact_point.impact_point.impact_type {--},impact_point.impact_point.ellip_coords.longitude {rad},impact_point.impact_point.ellip_coords.latitude {rad},impact_point.impact_point.ellip_coords.altitude {m}
                   0,   206.8006790995177,   206.8006790995177,   1029372.049393306,0,  0.1292953330007966, 0.09704743877872654,  0.3310781830869558
                   5,   201.8006790995182,   206.8006790995182,   1029372.049393046,0,   0.129295333000764, 0.09704743877870238,  0.3310781849521165
                  10,   196.8006790995174,   206.8006790995174,   1029372.049392626,0,  0.1292953330007101,  0.0970474387786625,  0.3310781840138962
                  15,   191.8006790995182,   206.8006790995182,   1029372.049392957,0,  0.1292953330007521, 0.09704743877869365,  0.3310781821487354
                  20,    186.800679099518,    206.800679099518,   1029372.049392966,0,  0.1292953330007539, 0.09704743877869496,  0.3310781849521166
                  25,   181.8006790995174,   206.8006790995174,   1029372.049392922,0,  0.1292953330007478,  0.0970474387786905,  0.3310781840026161
                  30,   176.8006790995171,   206.8006790995171,   1029372.049392869,0,  0.1292953330007409, 0.09704743877868541,  0.3310781840138962
                  35,   171.8006790995173,   206.8006790995173,   1029372.049392842,0,  0.1292953330007377, 0.09704743877868298,  0.3310781840251762
                  40,   166.8006790995197,   206.8006790995197,   1029372.049392891,0,  0.1292953330007438, 0.09704743877868759,  0.3310781830756757
                  45,   161.8006790995179,   206.8006790995179,   1029372.049392851,0,  0.1292953330007391, 0.09704743877868414,   0.331078181210515
                  50,   156.8006790995173,   206.8006790995173,   1029372.049392886,0,  0.1292953330007435, 0.09704743877868732,  0.3310781830756757
                  55,   151.8006790995175,   206.8006790995175,   1029372.049392781,0,  0.1292953330007309, 0.09704743877867796,  0.3310781849521166
                  60,   146.8006790995186,   206.8006790995186,   1029372.049392891,0,  0.1292953330007442, 0.09704743877868784,  0.3310781821600156
                  65,   141.8006790995178,   206.8006790995178,   1029372.049392873,0,  0.1292953330007416, 0.09704743877868598,  0.3310781840138962
                  70,   136.8006790995191,   206.8006790995191,   1029372.049392922,0,   0.129295333000747, 0.09704743877868999,  0.3310781821487354
                  75,    131.800679099519,    206.800679099519,   1029372.049392891,0,  0.1292953330007438, 0.09704743877868759,  0.3310781830756757
                  80,    126.800679099519,    206.800679099519,   1029372.049392882,0,  0.1292953330007423,  0.0970474387786865,  0.3310781840251762
                  85,   121.8006790995196,   206.8006790995196,   1029372.049392882,0,  0.1292953330007427, 0.09704743877868674,  0.3310781840251762
                  90,   116.8006790995194,   206.8006790995194,   1029372.049392887,0,  0.1292953330007442, 0.09704743877868781,  0.3310781840251762
                  95,   111.8006790995191,   206.8006790995191,   1029372.049392908,0,   0.129295333000746, 0.09704743877868924,  0.3310781830643956
                 100,   106.8006790995191,   206.8006790995191,   1029372.049392887,0,  0.1292953330007434, 0.09704743877868731,  0.3310781830756757
                 105,   101.8006790995194,   206.8006790995194,   1029372.049392887,0,  0.1292953330007442, 0.09704743877868779,  0.3310781840251762
                 110,   96.80067909951994,   206.8006790995199,   1029372.049392891,0,  0.1292953330007446, 0.09704743877868802,  0.3310781849633966
                 115,   91.80067909952007,   206.8006790995201,   1029372.049392891,0,  0.1292953330007446, 0.09704743877868802,  0.3310781849633966
                 120,   86.80067909951974,   206.8006790995198,     1029372.0493929,0,  0.1292953330007449, 0.09704743877868829,  0.3310781840251762
                 125,   81.80067909952035,   206.8006790995204,   1029372.049392887,0,  0.1292953330007442, 0.09704743877868778,  0.3310781840251762
                 130,   76.80067909951957,   206.8006790995196,   1029372.049392882,0,  0.1292953330007431, 0.09704743877868698,  0.3310781849521165
                 135,   71.80067909952035,   206.8006790995204,   1029372.049392887,0,  0.1292953330007435, 0.09704743877868727,  0.3310781830756757
                 140,   66.80067909951923,   206.8006790995192,   1029372.049392887,0,  0.1292953330007435, 0.09704743877868727,  0.3310781830756757
                 145,   61.80067909951866,   206.8006790995187,   1029372.049392869,0,  0.1292953330007417, 0.09704743877868593,  0.3310781849408365
                 150,   56.80067909951811,   206.8006790995181,   1029372.049392882,0,  0.1292953330007428, 0.09704743877868668,  0.3310781840251762
                 155,    51.8006790995192,   206.8006790995192,   1029372.049392882,0,  0.1292953330007428, 0.09704743877868671,  0.3310781840251762
                 160,   46.80067909951894,   206.8006790995189,   1029372.049392882,0,  0.1292953330007431,   0.097047438778687,  0.3310781849408365
                 165,   41.80067909952028,   206.8006790995203,   1029372.049392887,0,  0.1292953330007439, 0.09704743877868753,  0.3310781840138961
                 170,   36.80067909952049,   206.8006790995205,   1029372.049392887,0,  0.1292953330007439, 0.09704743877868753,  0.3310781840138961
                 175,   31.80067909952133,   206.8006790995213,   1029372.049392887,0,  0.1292953330007439, 0.09704743877868754,  0.3310781840138961
                 180,   26.80067909952074,   206.8006790995207,     1029372.0493929,0,  0.1292953330007446, 0.09704743877868804,  0.3310781840138962
                 185,    21.8006790995215,   206.8006790995215,     1029372.0493929,0,  0.1292953330007446, 0.09704743877868806,  0.3310781840251762
                 190,    16.8006790995219,   206.8006790995219,     1029372.0493929,0,  0.1292953330007449, 0.09704743877868834,  0.3310781840138962
                 195,   11.80067909952214,   206.8006790995221,   1029372.049392891,0,  0.1292953330007446,   0.097047438778688,  0.3310781849633966
                 200,   6.800679099521235,   206.8006790995212,     1029372.0493929,0,  0.1292953330007449, 0.09704743877868829,  0.3310781840251762
                 205,   1.800679099524152,   206.8006790995242,   1029372.049392904,0,  0.1292953330007456, 0.09704743877868884,  0.3310781840251762
                 210,                   0,                 207,   1030389.552889527,4,  0.1294239291038744, 0.09714284357018341,                   0
                 215,                   0,                 207,   1030389.552889527,4,  0.1294239291038744, 0.09714284357018341,                   0
