sys.exec.out.time {s},luwinds.altitude {1},luwinds.lookup_table_winds.altitude {m},luwinds.lookup_table_winds.u {m/s},luwinds.lookup_table_winds.v {m/s},luwinds.lookup_table_winds.w {m/s},luwinds.lookup_table_winds.rho {kg/m3},luwinds.lookup_table_winds.P {N/m2},luwinds.lookup_table_winds.T {K},luwinds.lookup_table_winds.wind_number {--},luwinds.lookup_table_winds.SOS {m/s},luwinds.lookup_table_winds.wind_velocity_tc[0] {m/s},luwinds.lookup_table_winds.wind_velocity_tc[1] {m/s},luwinds.lookup_table_winds.wind_velocity_tc[2] {m/s},luwinds.lookup_table_winds.wind_angle_blowing_from {rad},luwinds.lookup_table_winds.wind_vmag {m/s}
                   0,               -3000,               -3000,  -12.60592460632324,  -14.71348285675049,  0.1038898453116417,   1.193308711051941,      100941.9453125,   292.6409301757812,2,   344.1307233690326,  -14.71348285675049,  -12.60592460632324, -0.1038898453116417,  0.7084055650148029,   19.37541499055324
                   1,               -1000,               -1000,  -12.60592460632324,  -14.71348285675049,  0.1038898453116417,   1.193308711051941,      100941.9453125,   292.6409301757812,2,   344.1307233690326,  -14.71348285675049,  -12.60592460632324, -0.1038898453116417,  0.7084055650148029,   19.37541499055324
                   2,                1000,                1000,  -8.894760554518218,  -8.026611766436151, -0.4489928671076443,   1.074675743883142,   89502.36009281612,   288.8548812533162,2,   341.4621245912955,  -8.026611766436151,  -8.894760554518218,  0.4489928671076443,  0.8366580885160859,   11.98936430199775
                   3,                3000,                3000,   4.092245120307383,  -10.92467417427321, -0.2500871546832886,  0.8676168993716971,   70367.63620963092,   282.1350133324623,2,   336.9663221306394,  -10.92467417427321,   4.092245120307383,  0.2500871546832886,   5.924776431481362,   11.66865542912504
                   4,                5000,                5000,   18.16996071733201,  -10.19279223418151,  0.3580476410030523,  0.7117354349042015,   55006.62407149507,   269.0494620754716,2,   328.9366154608273,  -10.19279223418151,   18.16996071733201, -0.3580476410030523,   5.223614980711394,   20.83671481092466
                   5,                7000,                7000,   27.20409126750455, -0.3972514520654739, 0.04286550337428813,  0.5776701194038284,   42304.30504337594,    255.050723066966,2,   320.1963289822594, -0.3972514520654739,   27.20409126750455,-0.04286550337428813,   4.726990578928714,   27.20702534012612
                   6,                9000,                9000,   39.96420127273804,  -2.324347220314229, -0.2381918257125138,  0.4686115711726417,   32263.73919698443,   239.8167034513083,2,   310.4665837904731,  -2.324347220314229,   39.96420127273804,  0.2381918257125138,   4.770484266139882,   40.03244569988617
                   7,               11000,               11000,   46.40835900868689,   10.06509274579175, -0.1709935668578581,  0.3739673709057953,   24182.35518060751,   225.2931290479754,2,   300.8821751707403,   10.06509274579175,   46.40835900868689,  0.1709935668578581,   4.498815595033032,   47.48758908031093
                   8,               13000,               13000,   36.27014384386862,   17.54645312341935,-0.05972037125599429,  0.2858666971148845,    17670.0560361322,   215.3857843597314,2,   294.1719093121792,   17.54645312341935,   36.27014384386862, 0.05972037125599429,   4.261808450754184,    40.2914993291391
                   9,               15000,               15000,   41.23999176348054,   13.46503115301491, -0.1004966787411807,  0.2120472174147081,   12648.41971072424,    207.829397761157,2,   288.9787200011719,   13.46503115301491,   41.23999176348054,  0.1004966787411807,   4.396797172078006,   43.38264727037808
                  10,               17000,               17000,   25.50097974671061,  -12.32687934673384, -0.3473327274576935,  0.1566059056600104,   9112.047267394675,   202.7622990036407,3,   285.4091762448011,  -12.32687934673384,   25.50097974671061,  0.3473327274576935,   5.162659263500235,   28.32618157278954
                  11,               19000,               19000,   25.28786055568021,  -0.799708783694088,  0.0332067035577646,  0.1114011411640272,   6461.769400076313,   202.1361778459816,3,   284.9672331532445,  -0.799708783694088,   25.28786055568021, -0.0332067035577646,   4.744002661103754,   25.30052426941793
                  12,               21000,               21000,   12.52500670386289,  -3.954170393092974,   0.521601238074474, 0.07773046772128908,   4565.147099844603,   204.6303456446395,3,   286.7449416340651,  -3.954170393092974,   12.52500670386289,  -0.521601238074474,   5.018188360989142,   13.14470708235768
                  13,               23000,               23000,  -1.645288103902844,  -6.783941745544171,  0.2764812036292686, 0.05394255579376131,   3228.279172472134,   208.5114063479563,3,   289.4568290903791,  -6.783941745544171,  -1.645288103902844, -0.2764812036292686,  0.2379328486634589,   6.986077612490531
                  14,               25000,               25000,    -10.608213897569,  -5.530378706429656, -0.3978354387995244, 0.03739282670124632,   2297.981688994749,   214.0853740550998,3,   293.3209962192012,  -5.530378706429656,    -10.608213897569,  0.3978354387995244,   1.090230797541774,   11.96986064118841
                  15,               27000,               27000,  -13.57331474364968,  -2.023378631891978,  0.5796595538537992, 0.02662267469508865,   1651.095125736028,   216.0158511079018,3,   294.6620613789089,  -2.023378631891978,  -13.57331474364968, -0.5796595538537992,   1.422815706738724,   13.73553564359791
                  16,               29000,               29000,  -14.35951518044465,   4.894298065978122, -0.1406019108322467, 0.01873185905588769,   1191.265116379695,   221.4412419230751,3,   298.3855512686474,   4.894298065978122,  -14.35951518044465,  0.1406019108322467,   1.899287655664258,   15.17134136038693
                  17,               31000,               31000,  -14.42244779131921,   5.416294012137718,  0.1107074655494808, 0.01351081108660932,   873.0591807625779,   225.0641420960905,3,   300.7773639840447,   5.416294012137718,  -14.42244779131921, -0.1107074655494808,    1.93004568318123,   15.40634600618121
                  18,               33000,               33000,   5.603209473300303,  -2.271066057024949, -0.5787493464205143,0.009831576993271123,   642.7656488816896,   227.7674933964715,3,   302.5371803519036,  -2.271066057024949,   5.603209473300303,  0.5787493464205143,   5.097469025391501,   6.073602575328359
                  19,               35000,               35000,   10.96049853184838,  0.7084441756821431,  -1.327294344601315,0.007102026899504046,   480.1086463906223,   235.5700373574126,3,    307.639874183393,  0.7084441756821431,   10.96049853184838,   1.327294344601315,    4.64784264126018,   11.06327851470435
                  20,               37000,               37000,   36.84000015258789,   2.799999952316284,                   0,0.005882999859750271,   405.8999938964844,   240.3699951171875,1771,   310.7950700334223,   2.799999952316284,   36.84000015258789,                  -0,    4.63653048413348,   36.94625300318893
                  21,               39000,               39000,   46.20999908447266,  -6.510000228881836,                   0,0.004368000198155642,               307.5,   245.3800048828125,1771,    313.938987442772,  -6.510000228881836,   46.20999908447266,                  -0,   4.852346533528766,   46.66630602872918
                  22,               41000,               41000,   26.61000061035156,   1.220000028610229,                   0,0.003259999910369515,                 233,   250.5099945068359,1771,   316.3247578744663,   1.220000028610229,   26.61000061035156,                  -0,   4.666573637684078,   26.63795285964594
                  23,               43000,               43000,    36.9900016784668,   7.940000057220459,                   0,0.002422000048682094,   178.1999969482422,   256.9700012207031,1771,   320.9451300649184,   7.940000057220459,    36.9900016784668,                  -0,   4.500944894411995,    37.8325762416682
                  24,               45000,               45000,   72.70999908447266,   10.56999969482422,                   0,0.001835000002756715,               137.5,   262.3800048828125,1771,   323.8898454644582,   10.56999969482422,   72.70999908447266,                  -0,   4.568028215178785,    73.4742734595763
                  25,               47000,               47000,   75.86000061035156,   15.64999961853027,                   0,0.001506999949924648,   108.3000030517578,   251.8500061035156,1771,   317.1915676437784,   15.64999961853027,   75.86000061035156,                  -0,     4.5089421019036,   77.45748627900687
                  26,               49000,               49000,   54.86000061035156,   15.13000011444092,                   0,0.001147000002674758,   84.38999938964844,    257.010009765625,1771,   320.9429204901167,   15.13000011444092,   54.86000061035156,                  -0,   4.443285741598848,   56.90814151271113
                  27,               51000,               51000,   76.34999847412109,   21.40999984741211,                   0,0.0008927999879233539,   65.41000366210938,    256.510009765625,1771,    320.264658640985,   21.40999984741211,   76.34999847412109,                  -0,   4.438991664129244,   79.29508408763105
                  28,               53000,               53000,   75.83000183105469,   6.809999942779541,                   0,0.0006799999973736703,   49.81000137329102,    257.010009765625,1771,   320.2342942650545,   6.809999942779541,   75.83000183105469,                  -0,   4.622823109488872,   76.13517765736424
                  29,               55000,               55000,   95.51000213623047,   16.22999954223633,                   0,0.0005369000136852264,   38.52999877929688,   252.9600067138672,1771,   316.9690133173442,   16.22999954223633,   95.51000213623047,                  -0,   4.544067011719319,   96.87916903650516
                  30,               57000,               57000,   91.80211369792202,   3.788927411222749,   1.615477574127057,0.0004302884416061666,   30.44101164369939,    246.453120431437,2,   314.7123010250091,   3.788927411222749,   91.80211369792202,  -1.615477574127057,   4.671139622940014,   91.89447109661292
                  31,               59000,               59000,   82.73464328122648,   9.567113692437591,  -1.126048102574429,0.0003212357390657365,   22.75464062571631,   247.0304751271331,2,   314.9104553737565,   9.567113692437591,   82.73464328122648,   1.126048102574429,   4.597264175300063,   83.29357026568817
