sys.exec.out.time {s},test.var_i {1},test.constraints.threshold_x4t.violation_count {--},test.constraints.threshold_x4t.violated {--},test.constraints.threshold_x4t.tests[0].violation {--},test.constraints.threshold_x4t.tests[1].violation {--},test.constraints.threshold_x4t.tests[2].violation {--},test.constraints.threshold_x4t.tests[3].violation {--},test.constraints.threshold_x4t.tests[0].violation_timer {s},test.constraints.threshold_x4t.tests[1].violation_timer {s},test.constraints.threshold_x4t.tests[2].violation_timer {s},test.constraints.threshold_x4t.tests[3].violation_timer {s},test.constraints.threshold_x4t.test_violated_time_limit {--},test.constraints.threshold_x4t.test_violated_index {--}
                   0,9,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,0
                 0.1,9,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,0
                 0.2,9,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,0
                 0.3,9,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,0
                 0.4,9,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,0
                 0.5,9,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,0
                 0.6,9,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,0
                 0.7,9,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,0
                 0.8,9,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,0
                 0.9,9,0,0,0,0,0,0,                   0,                   0,                   0,                   0,                   0,0
                   1,10,1,1,1,0,0,0,                   0,                   0,                   0,                   0,                 1.7,0
                 1.1,10,1,1,1,0,0,0,                   0,                   0,                   0,                   0,                 1.7,0
                 1.2,10,1,1,1,0,0,0,                   0,                   0,                   0,                   0,                 1.7,0
                 1.3,10,1,1,1,0,0,0,                   0,                   0,                   0,                   0,                 1.7,0
                 1.4,10,1,1,1,0,0,0,                   0,                   0,                   0,                   0,                 1.7,0
                 1.5,10,1,1,1,0,0,0,                   0,                   0,                   0,                   0,                 1.7,0
                 1.6,10,1,1,1,0,0,0,                   0,                   0,                   0,                   0,                 1.7,0
                 1.7,10,1,1,1,0,0,0,                   0,                   0,                   0,                   0,                 1.7,0
                 1.8,10,1,1,1,0,0,0,                   0,                   0,                   0,                   0,                 1.7,0
                 1.9,10,1,1,1,0,0,0,                   0,                   0,                   0,                   0,                 1.7,0
                   2,21,1,1,1,0,0,0,                   0,                 0.1,                   0,                   0,                 1.7,0
                 2.1,21,1,1,1,0,0,0,                   0,                 0.2,                   0,                   0,                 1.7,0
                 2.2,21,1,1,1,0,0,0,                   0,                 0.3,                   0,                   0,                 1.7,0
                 2.3,21,1,1,1,0,0,0,                   0,                 0.4,                   0,                   0,                 1.7,0
                 2.4,21,1,1,1,0,0,0,                   0,                 0.5,                   0,                   0,                 1.7,0
                 2.5,21,1,1,1,0,0,0,                   0,                 0.6,                   0,                   0,                 1.7,0
                 2.6,21,1,1,1,0,0,0,                   0,                 0.7,                   0,                   0,                 1.7,0
                 2.7,21,1,1,1,0,0,0,                   0,  0.7999999999999999,                   0,                   0,                 1.7,0
                 2.8,21,1,1,1,0,0,0,                   0,  0.8999999999999999,                   0,                   0,                 1.7,0
                 2.9,21,1,1,1,1,0,0,                   0,  0.9999999999999999,                   0,                   0,                 1.7,0
                   3,25,1,1,1,1,0,0,                   0,                 1.1,                   0,                   0,                 1.7,0
                 3.1,25,1,1,1,1,0,0,                   0,                 1.2,                   0,                   0,                 1.7,0
                 3.2,25,1,1,1,1,0,0,                   0,                 1.3,                   0,                   0,                 1.7,0
                 3.3,25,1,1,1,1,0,0,                   0,                 1.4,                   0,                   0,                 1.7,0
                 3.4,25,1,1,1,1,0,0,                   0,                 1.5,                   0,                   0,                 1.7,0
                 3.5,25,1,1,1,1,0,0,                   0,                 1.6,                   0,                   0,                 1.7,0
                 3.6,25,1,1,1,1,0,0,                   0,                 1.7,                   0,                   0,                 1.7,0
                 3.7,25,1,1,1,1,0,0,                   0,                 1.8,                   0,                   0,                 1.7,0
                 3.8,25,1,1,1,1,0,0,                   0,   1.900000000000001,                   0,                   0,                 1.7,0
