sys.exec.out.time {s},test_object.constant_value {--},test_object.constant_value_replaced {--},test_object.linear_value {--},test_object.counting_int {--}
                   0,             3.14159,            8.675309,                   0,0
                   1,             3.14159,            8.675309,                   1,1
                   2,             3.14159,            8.675309,                   2,2
                   3,             3.14159,   9.382415781186548,                   3,3
                   4,             3.14159,            9.675309,                   4,4
                   5,             3.14159,   9.382415781186548,                   5,5
                   6,             3.14159,            8.675309,                   6,6
                   7,             3.14159,   7.968202218813452,                   7,7
                   8,             3.14159,            7.675309,                   8,8
                   9,             3.14159,   7.968202218813452,                   9,9
                  10,             3.14159,            8.675309,                  10,10
                  11,             3.14159,   9.382415781186548,                  11,11
                  12,             3.14159,            9.675309,                  12,12
                  13,             3.14159,   9.382415781186548,                  13,13
                  14,             3.14159,            8.675309,                  14,14
                  15,             3.14159,   7.968202218813452,                  15,15
                  16,             3.14159,            7.675309,                  16,16
                  17,             3.14159,   7.968202218813452,                  17,17
                  18,             3.14159,            8.675309,                  18,18
                  19,             3.14159,   9.382415781186548,                  19,19
                  20,             3.14159,            9.675309,                  20,20
