sys.exec.out.time {s},test_object.var {--}
                   0,                   2
                 0.1,                   2
                 0.2,                   2
                 0.3,                   2
                 0.4,                   2
                 0.5,                   2
                 0.6,                   2
                 0.7,                   2
                 0.8,                   2
                 0.9,                   2
                   1,                   4
                 1.1,                   4
                 1.2,                   4
                 1.3,                   4
                 1.4,                   4
                 1.5,                   4
                 1.6,                   4
                 1.7,                   4
                 1.8,                   4
                 1.9,                   4
                   2,                 3.6
                 2.1,                 3.6
                 2.2,                 3.6
                 2.3,                 3.6
                 2.4,                 3.6
                 2.5,                 3.6
                 2.6,                 3.6
                 2.7,                 3.6
                 2.8,                 3.6
                 2.9,                 3.6
                   3,                 3.2
                 3.1,                 3.2
                 3.2,                 3.2
                 3.3,                 3.2
                 3.4,                 3.2
                 3.5,                 3.2
                 3.6,                 3.2
                 3.7,                 3.2
                 3.8,                 3.2
                 3.9,                 3.2
                   4,                 2.8
                 4.1,                 2.8
                 4.2,                 2.8
                 4.3,                 2.8
                 4.4,                 2.8
                 4.5,                 2.8
                 4.6,                 2.8
                 4.7,                 2.8
                 4.8,                 2.8
                 4.9,                 2.8
                   5,                 2.4
