sys.exec.out.time {s},test_object.var {--}
                   0,                   2
                 0.1,                   2
                 0.2,                   2
                 0.3,                   2
                 0.4,                   2
                 0.5,                   2
                 0.6,                   2
                 0.7,                   2
                 0.8,                   2
                 0.9,                   2
                   1,                   4
                 1.1,                3.96
                 1.2,                3.92
                 1.3,                3.88
                 1.4,                3.84
                 1.5,                 3.8
                 1.6,                   2
                 1.7,                   2
                 1.8,                   2
                 1.9,                   2
                   2,                   4
                 2.1,                3.96
                 2.2,                3.92
                 2.3,                3.88
                 2.4,                3.84
                 2.5,                 3.8
                 2.6,                   2
                 2.7,                   2
                 2.8,                   2
                 2.9,                   2
                   3,                   4
                 3.1,                3.96
                 3.2,                3.92
                 3.3,                3.88
                 3.4,                3.84
                 3.5,                 3.8
                 3.6,                3.76
                 3.7,                3.72
                 3.8,                3.68
                 3.9,                3.64
                   4,                 3.6
                 4.1,                3.56
                 4.2,                3.52
                 4.3,                3.48
                 4.4,                3.44
                 4.5,                 3.4
                 4.6,                3.36
                 4.7,                3.32
                 4.8,                3.28
                 4.9,                3.24
                   5,                 3.2
