sys.exec.out.time {s},test_object.var {--}
                   0,                   2
                 0.1,                   2
                 0.2,                   2
                 0.3,                   2
                 0.4,                   2
                 0.5,                   2
                 0.6,                   2
                 0.7,                   2
                 0.8,                   2
                 0.9,                   2
                   1,                   4
                 1.1,                4.04
                 1.2,                4.08
                 1.3,                4.12
                 1.4,                4.16
                 1.5,                 4.2
                 1.6,                4.24
                 1.7,   4.279999999999999
                 1.8,                4.32
                 1.9,   4.359999999999999
                   2,                 4.4
                 2.1,                4.44
                 2.2,                4.48
                 2.3,                4.52
                 2.4,                4.56
                 2.5,                 4.6
                 2.6,   4.640000000000001
                 2.7,                4.68
                 2.8,                4.72
                 2.9,                4.76
                   3,                 3.2
                 3.1,                3.16
                 3.2,                3.12
                 3.3,                3.08
                 3.4,                3.04
                 3.5,                   3
                 3.6,                2.96
                 3.7,                2.92
                 3.8,                2.88
                 3.9,                2.84
                   4,                 2.8
                 4.1,                2.76
                 4.2,                2.72
                 4.3,                2.68
                 4.4,                2.64
                 4.5,                 2.6
                 4.6,                2.56
                 4.7,                2.52
                 4.8,                2.48
                 4.9,                2.44
                   5,                 2.4
