sys.exec.out.time {s},test_object.var {--}
                   0,                   2
                 0.1,                   2
                 0.2,                   2
                 0.3,                   2
                 0.4,                   2
                 0.5,                   2
                 0.6,                   2
                 0.7,                   2
                 0.8,                   2
                 0.9,                   2
                   1,                   2
                 1.1,                   2
                 1.2,                   2
                 1.3,                   2
                 1.4,                   2
                 1.5,                   2
                 1.6,                   2
                 1.7,                   2
                 1.8,                   2
                 1.9,                   2
                   2,                   4
                 2.1,                4.04
                 2.2,                4.08
                 2.3,                4.12
                 2.4,                4.16
                 2.5,                 4.2
                 2.6,                4.24
                 2.7,                4.28
                 2.8,                4.32
                 2.9,   4.359999999999999
                   3,                   2
                 3.1,                   2
                 3.2,                   2
                 3.3,                   2
                 3.4,                   2
                 3.5,                   2
                 3.6,                   2
                 3.7,                   2
                 3.8,                   2
                 3.9,                   2
                   4,                   4
                 4.1,                4.04
                 4.2,                4.08
                 4.3,                4.12
                 4.4,                4.16
                 4.5,                 4.2
                 4.6,                4.24
                 4.7,                4.28
                 4.8,                4.32
                 4.9,                4.36
                   5,                 4.4
