sys.exec.out.time {s},fd_obj.time {1},fd_obj.in_vec3[0] {1},fd_obj.in_vec3[1] {1},fd_obj.in_vec3[2] {1},fd_obj.out_vec3_deriv1[0] {1},fd_obj.out_vec3_deriv1[1] {1},fd_obj.out_vec3_deriv1[2] {1},fd_obj.out_vec3_deriv2[0] {1},fd_obj.out_vec3_deriv2[1] {1},fd_obj.out_vec3_deriv2[2] {1},fd_obj.error_deriv1_vec[0] {1},fd_obj.error_deriv1_vec[1] {1},fd_obj.error_deriv1_vec[2] {1},fd_obj.error_deriv2_vec[0] {1},fd_obj.error_deriv2_vec[1] {1},fd_obj.error_deriv2_vec[2] {1}
                   0,                   9,        -16117776.38,        -24141150.38,        -32164524.38,  -5447377.640000001,  -8160421.639999999,        -10873465.64,                   0,                   0,                   0, -0.2404848410865628, -0.2406241083261337, -0.2406938590840275,                  -1,                  -1,                  -1
                   1,                  14,        -94533364.08,       -141664308.08,       -188795252.08,        -22369737.44,  -33527561.44000001,  -44685385.44000001,         -4744967.96,  -7113251.960000001,  -9481535.960000001, -0.1724033229060305, -0.1724724450452513, -0.1725070436126213, -0.1813849313178872,  -0.181472593738827, -0.1815164567320811
                   2,                  15,        -124601865.5,        -186735615.5,        -248869365.5,  -32466065.40000001,         -48665753.4,  -64865441.40000002,  -6279463.959999979,  -9414695.959999975,  -12549927.95999997,-0.02358547892819198,-0.02359538078703089, -0.0236003367311807,-0.05637243444458238,-0.05639785938781049,-0.05641058046168097
                   3,                  17,       -205634972.22,       -308208586.22,       -410782200.22,  -47481921.31999999,  -71179937.32000005,  -94877953.32000007,  -8321767.960000008,  -12477551.96000008,  -16633335.96000008,-0.01925681953677509,-0.01926415996952978,-0.01926783346715722,-0.02655991058681158,-0.02657047803695772, -0.0265757649160336
                   4,                  20,          -394075812,          -590715812,          -787355812,  -76191849.20000002,        -114228629.2,  -152265409.1999999,  -11523431.96000001,  -17279147.95999995,  -23034863.95999992,-0.03378242773328283,-0.03379319870420838,-0.03379858828330417,-0.02627661740781596,-0.02628550181743487,-0.02628994627556051
                   5,                  24,       -817435736.48,      -1225464920.48,      -1633494104.48,       -130426477.04,       -195554821.04,       -260683165.04,  -16417543.95999999,  -24619115.96000005,  -32820687.95999999,-0.04307517941267417,-0.04308651799236828,-0.04309219087390678,-0.03677873160753391,-0.03678909201832997,-0.03679427441290227
                   6,                  29,      -1743124521.18,      -2613470375.18,      -3483816229.18,  -229192076.8400001,  -343664320.8399999,       -458136564.84,        -23838287.96,  -35748731.95999993,  -47659175.95999999,-0.04708058621027469,-0.04709080185068186, -0.0470959123490878,-0.04224116242063169,-0.04225100808840632,-0.04225593264363017
                   7,                  30,         -1996373702,         -2993213702,         -3990053702,  -264601084.8000003,  -396767032.8000005,  -528932980.8000008,  -26261263.95999977,  -39382895.95999998,  -52504527.95999993,-0.006281895065744194,-0.006283266029075749,-0.00628395185818275,-0.01408358488998417,-0.01408675800497408,-0.01408834509872539
                   8,                  32,      -2584602047.52,      -3875268031.52,      -5165934015.52,  -321357500.7199998,       -481883056.72,  -642408612.7200007,  -30080527.96000018,  -45111191.96000066,  -60141855.96000114,-0.005633992400132194,-0.005635157835170711,-0.005635740829583932,-0.00749172221380266,-0.007493304558639832,-0.007494095981742942
                   9,                  35,       -3699247645.5,       -5546731395.5,       -7394215145.5,        -418009148.6,  -626830828.5999995,   -835652508.599999,  -35947631.95999932,  -53910947.96000004,  -71874263.95999956,-0.01155168119241419, -0.0115538437463267,-0.01155492549303788,-0.008576392920403263,-0.008578048975182424,-0.008578877242442877
                  10,                  39,      -5703632287.58,      -8552486581.58,     -11401340875.58,  -575123376.4399998,  -862458420.4399995,  -1149793464.439999,  -44395663.96000028,  -66581795.95999992,   -88767927.9600004,-0.01711943938564352, -0.0171222929900686, -0.0171237203485589, -0.0139235160044442,-0.01392592861971706,-0.01392713524090825
                  11,                  44,  -9241773269.280001,     -13858405333.28,     -18475037397.28,  -822368216.2400001,  -1233264280.240001,      -1644160344.24,  -56258807.96000028,  -84375011.96000028,  -112491215.9599998,-0.02140430016194106,-0.02140744522437643,-0.02140901829900091,-0.01834522373013709,-0.01834804107477441,-0.01834945007162483
                  12,                  45,      -10111220529.5,      -15162279279.5,      -20213338029.5,   -896417104.200001,  -1344322312.200002,  -1792227520.200006,  -59570263.95999858,  -89341895.95999703,  -119113527.9599981,-0.00284899427896889,-0.002849413427078675,-0.002849623071942306,-0.006257961415750692,-0.006258901104652281,-0.006259371054915976
