sys.exec.out.time {s},dummy_veh_launcher_verif.mass_body.composite_properties.mass {kg},vehicle2.dyn_body.mass.composite_properties.mass {kg},vehicle2.dyn_body.mass.core_properties.mass {kg},dummy_veh_launcher_verif.mass_body.composite_properties.position[0] {m},dummy_veh_launcher_verif.mass_body.composite_properties.position[1] {m},dummy_veh_launcher_verif.mass_body.composite_properties.position[2] {m},vehicle2.dyn_body.mass.composite_properties.position[0] {m},vehicle2.dyn_body.mass.composite_properties.position[1] {m},vehicle2.dyn_body.mass.composite_properties.position[2] {m},vehicle2.dyn_body.mass.core_properties.position[0] {m},vehicle2.dyn_body.mass.core_properties.position[1] {m},vehicle2.dyn_body.mass.core_properties.position[2] {m},dummy_veh_launcher_verif.mass_body.composite_properties.inertia[0][0] {kg*m2},dummy_veh_launcher_verif.mass_body.composite_properties.inertia[0][1] {kg*m2},dummy_veh_launcher_verif.mass_body.composite_properties.inertia[0][2] {kg*m2},dummy_veh_launcher_verif.mass_body.composite_properties.inertia[1][0] {kg*m2},dummy_veh_launcher_verif.mass_body.composite_properties.inertia[1][1] {kg*m2},dummy_veh_launcher_verif.mass_body.composite_properties.inertia[1][2] {kg*m2},dummy_veh_launcher_verif.mass_body.composite_properties.inertia[2][0] {kg*m2},dummy_veh_launcher_verif.mass_body.composite_properties.inertia[2][1] {kg*m2},dummy_veh_launcher_verif.mass_body.composite_properties.inertia[2][2] {kg*m2},vehicle2.dyn_body.mass.core_properties.inertia[0][0] {kg*m2},vehicle2.dyn_body.mass.core_properties.inertia[0][1] {kg*m2},vehicle2.dyn_body.mass.core_properties.inertia[0][2] {kg*m2},vehicle2.dyn_body.mass.core_properties.inertia[1][0] {kg*m2},vehicle2.dyn_body.mass.core_properties.inertia[1][1] {kg*m2},vehicle2.dyn_body.mass.core_properties.inertia[1][2] {kg*m2},vehicle2.dyn_body.mass.core_properties.inertia[2][0] {kg*m2},vehicle2.dyn_body.mass.core_properties.inertia[2][1] {kg*m2},vehicle2.dyn_body.mass.core_properties.inertia[2][2] {kg*m2},vehicle2.dyn_body.mass.composite_properties.inertia[0][0] {kg*m2},vehicle2.dyn_body.mass.composite_properties.inertia[0][1] {kg*m2},vehicle2.dyn_body.mass.composite_properties.inertia[0][2] {kg*m2},vehicle2.dyn_body.mass.composite_properties.inertia[1][0] {kg*m2},vehicle2.dyn_body.mass.composite_properties.inertia[1][1] {kg*m2},vehicle2.dyn_body.mass.composite_properties.inertia[1][2] {kg*m2},vehicle2.dyn_body.mass.composite_properties.inertia[2][0] {kg*m2},vehicle2.dyn_body.mass.composite_properties.inertia[2][1] {kg*m2},vehicle2.dyn_body.mass.composite_properties.inertia[2][2] {kg*m2},vehicle.dyn_body.composite_body.state.trans.position[0] {m},vehicle.dyn_body.composite_body.state.trans.position[1] {m},vehicle.dyn_body.composite_body.state.trans.position[2] {m},vehicle2.dyn_body.composite_body.state.trans.position[0] {m},vehicle2.dyn_body.composite_body.state.trans.position[1] {m},vehicle2.dyn_body.composite_body.state.trans.position[2] {m},vehicle2.dyn_body.core_body.state.trans.position[0] {m},vehicle2.dyn_body.core_body.state.trans.position[1] {m},vehicle2.dyn_body.core_body.state.trans.position[2] {m},vehicle.dyn_body.composite_body.state.trans.velocity[0] {m/s},vehicle.dyn_body.composite_body.state.trans.velocity[1] {m/s},vehicle.dyn_body.composite_body.state.trans.velocity[2] {m/s},vehicle2.dyn_body.composite_body.state.trans.velocity[0] {m/s},vehicle2.dyn_body.composite_body.state.trans.velocity[1] {m/s},vehicle2.dyn_body.composite_body.state.trans.velocity[2] {m/s},vehicle2.dyn_body.core_body.state.trans.velocity[0] {m/s},vehicle2.dyn_body.core_body.state.trans.velocity[1] {m/s},vehicle2.dyn_body.core_body.state.trans.velocity[2] {m/s},vehicle.dyn_body.derivs.trans_accel[0] {m/s2},vehicle.dyn_body.derivs.trans_accel[1] {m/s2},vehicle.dyn_body.derivs.trans_accel[2] {m/s2},vehicle2.dyn_body.derivs.trans_accel[0] {m/s2},vehicle2.dyn_body.derivs.trans_accel[1] {m/s2},vehicle2.dyn_body.derivs.trans_accel[2] {m/s2},vehicle.dyn_body.derivs.non_grav_accel[0] {m/s2},vehicle.dyn_body.derivs.non_grav_accel[1] {m/s2},vehicle.dyn_body.derivs.non_grav_accel[2] {m/s2},vehicle2.dyn_body.derivs.non_grav_accel[0] {m/s2},vehicle2.dyn_body.derivs.non_grav_accel[1] {m/s2},vehicle2.dyn_body.derivs.non_grav_accel[2] {m/s2}
                   0,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             7000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                4000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.134702887755102,                   0,                   0,                   0,                   0,                   0,                  -0,                   0,                   0,                   0,                   0,                   0
                   1,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,     6999995.9326481,   3999.999225266149,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.134704710754868,   3999.997675797943,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.134708356754174,-0.004648406125766996,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   2,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   6999983.730586932,   7999.993802123258,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   -16.2694203595236,   3999.990703176997,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.134724763797117,-0.009296842256484757,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   3,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   6999963.393800089,   11999.97908213274,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -24.40415788439706,   3999.979082092827,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.134752108995064,-0.01394533749727592,                   0,                   0,                   0,                   0,                   0,                  -0,                   0,                   0,                   0,                   0
                   4,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   6999934.922260226,   15999.95041679688,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -32.53892822362007,   3999.962812471546,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.134790392540495,-0.01859392140440884,                   0,                   0,                   0,                   0,                   0,                  -0,                   0,                   0,                   0,                   0
                   5,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   6999898.315929058,   19999.90315752931,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -40.67374231566843,    3999.94189420971,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.134839614702877,-0.02324262353563023,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   6,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   6999853.574757364,   23999.83265562545,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -48.80861109932592,   3999.916327174314,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.134899775828663,-0.02789147345065798,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   7,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   6999800.698684982,    27999.7342622329,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -56.94354551376124,   3999.886111202793,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.134970876341333,-0.03254050071167414,                   0,                   0,                   0,                   0,                  -0,                   0,                   0,                   0,                   0,                   0
                   8,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   6999739.687640812,   31999.60332832195,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   -65.0785564986051,    3999.85124610302,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.135052916741349,-0.03718973488381783,                   0,                   0,                   0,                   0,                  -0,                   0,                   0,                   0,                   0,                   0
                   9,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   6999670.541542814,   35999.43520465596,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -73.21365499402717,   3999.811731653298,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.135145897606208,-0.04183920553567837,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
